============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  190  9 .5645654E+08   4561630E+02  .2009E+07 -.1193E+06   .9999920  .0039393 -.0007070
T  191  9 .5657613E+08   4561630E+02  .8790E+06  .1755E+07   .9999780  .0048013  .0045713
T  192  9 .5665212E+08   4561630E+02 -.2363E+07 -.3060E+06   .9999843 -.0049199 -.0026683
T  193  9 .5621891E+08   4561630E+02  .1533E+07  .1413E+06   .9999869  .0041395 -.0030143
T  194  9 .5678835E+08   4561631E+02  .1007E+07  .1818E+06   .9999960  .0025834  .0011813
T  195  9 .5641308E+08   4561630E+02 -.2321E+06  .7998E+06   .9999994 -.0003484 -.0010750
T  196  9 .5641783E+08   4561630E+02  .2592E+07  .3447E+07   .9999127  .0089672  .0097001
T  197  9 .5640207E+08   4561631E+02  .8774E+06  .1147E+07   .9999942  .0021385  .0026622
T  198  9 .5623596E+08   4561631E+02  .7325E+06 -.2510E+07   .9999728  .0052439 -.0051788
T  199  9 .5635757E+08   4561630E+02  .9469E+06 -.6135E+06   .9999727  .0057197 -.0046840
T  200  9 .5665181E+08   4561630E+02  .5114E+06 -.5120E+06   .9999947  .0021675 -.0024348
T  201  9 .5639580E+08   4561630E+02 -.1992E+07  .1409E+07   .9999748 -.0040034  .0058696
T  202  9 .5638929E+08   4561631E+02 -.1986E+06 -.2905E+06   .9999832 -.0055610 -.0016434
T  203  9 .5637386E+08   4561631E+02 -.2394E+07  .1506E+06   .9999509 -.0098152 -.0013911
T  204  9 .5656660E+08   4561631E+02  .3046E+07  .5530E+06   .9999797  .0060920 -.0018609
T  205  9 .5645688E+08   4561631E+02  .5482E+06  .7594E+06   .9999877  .0030041  .0039468
T  206  9 .5628211E+08   4561630E+02 -.4519E+05  .1183E+07   .9999893 -.0028170  .0036827
T  207  9 .5657120E+08   4561631E+02 -.2956E+07  .1991E+06   .9999679 -.0078151  .0017828
T  208  9 .5654414E+08   4561630E+02 -.1123E+07 -.1844E+07   .9999386 -.0079348 -.0077294
T  209  9 .5643807E+08   4561630E+02  .1452E+07 -.1622E+07   .9999650  .0054048 -.0063831
T  210  9 .5643974E+08   4561630E+02 -.7885E+06 -.1110E+07   .9999782 -.0042564 -.0050506
T  211  9 .5642043E+08   4561630E+02 -.2347E+07 -.4277E+06   .9999755 -.0060068 -.0035821
T  212  9 .5645739E+08   4561631E+02 -.4864E+06  .1237E+07   .9999902  .0008778  .0043364
T  213  9 .5650760E+08   4561630E+02  .1149E+07  .1116E+07   .9999877  .0022214  .0044295
T  214  9 .5664805E+08   4561631E+02 -.1059E+07 -.2829E+07   .9999613 -.0036878 -.0079911
T  215  9 .5629390E+08   4561630E+02 -.3291E+07 -.1137E+07   .9999513 -.0088403 -.0043792
T  216  9 .5654728E+08   4561630E+02  .2123E+06 -.2938E+06   .9999999  .0002493  .0002628
T  217  9 .5655236E+08   4561630E+02 -.1225E+06  .4662E+06   .9999994 -.0007552  .0007554
T  218  9 .5667932E+08   4561631E+02  .1142E+06 -.2187E+07   .9999919  .0001759 -.0040240
T  219  9 .5630164E+08   4561630E+02  .1617E+07 -.1936E+07   .9999894  .0013263 -.0044086
T  220  9 .5682408E+08   4561631E+02 -.1669E+07  .2084E+07   .9999804 -.0010791  .0061615
